step,scenario,centroid_x,centroid_y,spread,polarization,mean_nearest_neighbour_distance,convex_hull_area,elongation_ratio,number_of_clusters,alert_count,grazing_count,travelling_count,resting_count,mean_speed,mean_energy,mean_food_intake,field_mean_food,field_health_pct,field_biomass_pct,mean_grazing_pressure,degraded_area_pct,mean_ndvi_pct,mean_azimuth_deg
0,abundant,111.75149989743312,71.93032966211629,10.876238372675084,0.7416135821041129,3.1618034272233126,791.41510050945,1.129852893975483,1,0,8,28,0,0.8353204247094016,0.8488382586439307,0.0031111111111111114,0.30269940561623215,99.99997306462394,81.99394039200978,4.090767047920584e-06,0.0,32.10163818924243,78.46964268531262
1,abundant,112.06520772199966,72.50866684337562,11.246178815879292,0.7521624923894282,3.140653532092691,809.2348750786114,1.124514188454188,1,0,8,28,0,0.835816247743936,0.8476759718825237,0.0031111111111111114,0.3026770352877589,99.999943002742,81.98788081162954,8.181392057784622e-06,0.0,32.10163818924243,74.96740129905517
2,abundant,112.37836680229273,72.98731418338339,11.56533879010218,0.6726537255060532,3.008964203775301,797.4941007398593,1.1870387084608538,1,0,9,27,0,0.8156763694466573,0.8465467278761323,0.0035,0.3026518241624119,99.99989746265892,81.98105172815409,1.2783220915513983e-05,0.0,32.10163818924243,79.54455786560703
3,abundant,112.71030058234088,73.46593864347021,12.021111577402618,0.6992980437804286,3.0268398991689325,819.6074233564359,1.173855341204342,1,0,10,26,0,0.7955188136893544,0.8454505460699626,0.00388888888888889,0.3026237722518949,99.99981681810176,81.97345314475373,1.7896235871283215e-05,0.0,32.10163818924243,64.56036586384386
4,abundant,113.0433032734796,73.82719211953099,12.380245546709308,0.5422135391606908,3.040295998101092,821.4167642937682,1.2393071624959535,1,0,11,25,0,0.7753436597402662,0.8443874458220262,0.004277777777777779,0.30259287956281833,99.99969916837117,81.96508506321906,2.352041917588317e-05,0.0,32.10163818924243,107.37499924447907
5,abundant,113.46399148160869,74.17210511714953,12.776591460477444,0.631913206479244,3.056170592592094,841.0942112616904,1.278431201107108,1,0,12,24,0,0.7551509877813305,0.8433574464021335,0.004666666666666668,0.3025591461029987,99.99957831617027,81.9559474856674,2.9655753080720996e-05,0.0,32.10163818924243,89.77348413643402
6,abundant,113.89426966989423,74.47377163751791,13.10781065639069,0.5869527119086211,3.07685566664488,849.6945986216015,1.3237400620885387,3,0,15,21,0,0.6936106136282826,0.8424278080604757,0.005833333333333334,0.302516890091541,99.99943407658746,81.94450135521458,3.7324911599800214e-05,0.0,32.10163818924243,86.55764059024122
7,abundant,114.31517734171955,74.73905674282895,13.479242722666179,0.5006302680783766,3.0692781970327006,861.8076414804818,1.3690038081271625,2,0,15,21,0,0.6940405271656971,0.8414976968139266,0.005833333333333334,0.30247463425148097,99.99932525231218,81.93305527118928,4.499380383327611e-05,0.0,32.10163818924243,106.81866793617974
8,abundant,114.75613142663762,75.00742119854095,13.82460988246171,0.5338499013827751,3.0441480788154136,867.5516832775975,1.4166847732833738,3,1,14,21,0,0.715695777923449,0.8405328759026554,0.0054444444444444445,0.30243521948738056,99.99920433035858,81.92237876585673,5.2151083909404506e-05,0.0,32.10163818924243,87.91667391365434
9,abundant,115.24811951979028,75.24218610581454,14.148749025870025,0.5837743202752633,3.000479158008547,879.9937486146737,1.5047992110035064,4,1,15,20,0,0.6954401122167935,0.8396012251125502,0.005833333333333334,0.30239296400427174,99.9990714813715,81.91093277852087,5.981946135416814e-05,0.0,32.10163818924243,124.64317536296234
